Company_Name, Price ,Year,year1,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Interest  Discount on Advances  Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Interest Earned,Other Income,Total Income,Interest Expended,Payments to and Provisions for Employees,Depreciation,Operating Expenses (excludes Employee Cost & Depreciation),Total Operating Expenses,Provision Towards Income Tax,Other Provisions and Contingencies,Total Provisions and Contingencies,Total Expenditure,Net Profit  Loss for The Year,Net Profit  Loss After EI & Prior Year Items,Total Profit  Loss available for Appropriations,Transfer To  From Statutory Reserve,Transfer To  From Capital Reserve,Transfer To  From Revenue And Other Reserves,Equity Share Dividend,Tax On Dividend,Balance Carried Over To Balance Sheet,Total Appropriations,Basic EPS (Rs.),Diluted EPS (Rs.)
Balance Sheet of Karnataka Bank,113.9,15-Mar,2015,188.46,188.46,0,3200.6,3200.6,3389.06,46008.61,1037.76,1401.18,51836.6,2488.45,125.71,15988.06,31679.99,291.85,1262.54,51836.6,675,7382,12,11,2,944.21,3,623.55,2,2,4586.61,7832.61,3505.56,1184.63,1.98,6.24,4698.42,507,5205.41,3529.57,524.66,-14.17,391.97,902.47,107.95,213.97,321.92,4753.96,451.45,451.45,451.61,230,3.15,58.8,94.23,19.72,0.4,451.61,23.96,23.95
Balance Sheet of Karnataka Bank,113.9,14-Mar,2014,188.42,188.42,0,2863.78,2863.78,3052.2,40582.83,1915.19,1478.58,47028.8,2152.73,184.67,15226.78,28345.49,197.48,921.65,47028.8,600,7185,13,11,2,835.94,3,538.04,2,2,3415.35,8431.21,3161.55,1021.92,2.73,2.63,4188.83,505.58,4694.41,3132.76,525.4,25.53,323.67,874.6,97.62,278.39,376.01,4383.38,311.03,311.03,311.12,147,0,64,75.41,12.82,0.16,311.12,16.51,16.5
Balance Sheet of South Indian Bank,15.4,18-Mar,2018,180.88,180.88,240.32,4820.02,5060.34,5243.17,72029.59,4043.38,1369.73,82685.87,3258.24,962.81,18363.08,54562.89,680.78,4858.08,82685.87,854,7946,13,10,2,1980.3,4,1415.8,3,3,1192.87,11507.65,4769.18,1269.5,19.07,135.06,6192.81,837.24,7030.06,4227.29,713.22,63.73,545.03,1321.98,142.28,980.9,1145.9,6695.16,334.89,334.89,690.55,83.73,29.88,50,0,0,354.03,690.55,1.86,1.85
Balance Sheet of South Indian Bank,33.15,17-Mar,2017,180.28,180.28,243.84,4421.34,4665.19,4848.49,66117.49,1957.76,1388.42,74312.15,3077.98,809.74,19429.67,46389.47,656.1,3949.19,74312.15,850,7677,12,11,1,1149.01,2,674.56,1,1,980.1,7215.15,4447.42,1233.48,24.04,142.15,5847.08,715.56,6562.65,4171.65,676.52,65.38,434.51,1176.4,198.92,614.37,822.09,6170.14,392.5,392.5,566.21,98.13,39.55,50,0,0,355.66,566.21,2.61,2.61
Balance Sheet of South Indian Bank,30.05,16-Mar,2016,135.03,135.03,133.62,3573.27,3706.9,3845.58,55720.73,2314.96,1293.61,63174.88,2476.13,623.34,14618.93,41085.75,486.99,3883.74,63174.88,834,7780,12,10,2,1562.36,4,1185.26,3,3,4726.99,13906.5,4363.59,1007.78,28.77,157.05,5557.2,517.42,6074.62,4047.5,692.25,67.03,388.56,1147.84,143.07,369.61,546.01,5741.36,333.27,333.27,428.49,83.32,24.53,50,67.52,13.74,173.71,428.49,2.47,2.47
Balance Sheet of South Indian Bank,15.4,15-Mar,2015,135.02,135.02,138.58,3315.81,3454.39,3591.79,51912.49,2232.47,1379.57,59116.32,2441.58,1153.5,16717.16,37391.64,479.05,933.39,59116.32,822,7825,12,10,2,643.45,2,357.05,1,1,1306.74,26467.77,4152.97,1053.73,79.53,0,5286.22,497.07,5783.29,3919.99,633.7,-1.11,348.71,981.3,201.88,414.06,574.8,5476.09,307.2,307.2,347.06,76.81,3.86,50,81.01,16.95,95.23,347.06,2.28,2.27
Balance Sheet of South Indian Bank,15.4,14-Mar,2014,134.39,134.39,131.66,3102,3233.65,3370.35,47491.09,2730.78,1393.75,54985.97,2200.81,1017.12,14351.78,36229.86,412.2,774.21,54985.97,804,7111,13,11,2,432.62,1,281.67,1,1,1719.68,18111.54,3949.74,954.48,110.85,0,5015.06,368.46,5383.53,3616.29,528.96,44.61,309.32,882.89,242.38,155.4,376.84,4876.03,507.5,507.5,544.46,126.88,0.84,220,107.52,18.27,39.86,544.46,3.78,3.77
Balance Sheet of Lakshmi Vilas Bank,77.1,18-Mar,2018,255.99,255.99,167.25,1904.42,2071.67,2327.67,33309.48,4012.78,779.29,40429.23,1698.17,316.79,10767.75,25768.2,402.45,1475.86,40429.23,548,4623,10,8,2,2694.21,10,1457.89,6,6,1277.33,4872.3,2331.47,693.05,7.03,10.07,3041.62,346.81,3388.43,2251.02,392.13,58.84,331.05,782.03,-365.91,1306.15,940.24,3973.3,-584.87,-584.87,-522.6,0,86.26,0,0,0,-671.12,-522.6,-28.29,-28.11
Balance Sheet of Lakshmi Vilas Bank,145.05,17-Mar,2017,191.45,191.45,169.49,1775.4,1944.9,2136.34,30553.35,1773.13,781.89,35244.72,1454.8,169.07,8651.73,23728.91,359.12,881.08,35244.72,480,4043,10,9,2,640.19,3,418.42,2,2,878.45,3199.65,2239.71,577.59,12.28,17.07,2846.66,502.77,3349.43,2064,334.71,48.06,268.6,651.37,0,377.98,377.98,3093.35,256.07,256.07,256.08,64.1,77.16,46.55,0,0,62.26,256.08,14.07,13.95
Balance Sheet of Lakshmi Vilas Bank,88.2,16-Mar,2016,179.46,179.46,171.73,1412.4,1584.13,1763.59,25430.96,723.01,814.6,28732.16,1286.5,82.11,6545.4,19643.74,367,807.41,28732.16,460,3565,11,9,2,391.25,2,231.64,1,1,2136.8,2434.65,2038.27,519.4,3.27,7.36,2568.3,304.53,2872.83,1922.99,275.35,37.76,229.6,542.71,50,176.89,226.89,2692.6,180.24,180.24,180.32,45.2,6.04,50,53.84,10.96,0,180.32,10.05,10.05
Balance Sheet of Lakshmi Vilas Bank,77.1,15-Mar,2015,179.17,179.17,78.46,1298.52,1376.98,1556.14,21964.21,458.1,726.98,24705.44,1143.44,175.28,6103.78,16352.02,243.41,687.5,24705.44,400,3459,11,9,2,454.62,3,302.49,2,2,1730.06,1805.43,1708.9,479.94,8.24,17.46,2214.53,284.03,2498.56,1687.88,230.35,15.54,188.36,434.25,55.92,188.23,244.15,2366.28,132.29,132.29,132.35,33.2,4.79,41.4,35.84,7.17,0.08,132.35,9.16,9.16
Balance Sheet of Lakshmi Vilas Bank,77.1,14-Mar,2014,97.56,97.56,76.43,879.61,956.04,1053.6,18572.88,458.1,568.48,20653.06,1192.08,119.6,5688.68,12889.19,200.51,562.99,20653.06,361,3292,11,8,3,546.46,4,443.39,3,3,1475.43,1692.6,1591.61,382.67,3.66,6.01,1983.95,217.99,2201.94,1497.94,187.88,23.58,183.55,395.01,22.93,268.59,249.34,2142.29,59.66,59.66,59.74,15,0.11,24,9.76,1.66,0.07,59.74,6.11,6.11
